# P90_CSV_VERSION=1.0
EndOfPeriodUTC (dd/mm/yyyy HH:mm),SolarAzimuth (degrees),SolarZenith (degrees),AmbientTemp (celsius),DHI (W/m2),GHI (W/m2),DNI (W/m2),WS (m/s),Tilt (degrees)
09/04/1990 22:00,0.0,0.0,19.290002441406273,84.44999694824219,84.55000305175781,0.28999999165534973,6.480000019073486,0.0
09/04/1990 23:00,0.0,0.0,19.369989013671898,94.8499984741211,94.8499984741211,0.0,6.139999866485596,0.0
10/04/1990 00:00,0.0,0.0,19.439996337890648,172.39999389648438,172.39999389648438,0.0,5.659999847412109,0.0
10/04/1990 01:00,0.0,0.0,19.309991455078148,209.64999389648438,233.25,32.959999084472656,5.519999980926514,0.0
10/04/1990 02:00,0.0,0.0,19.369989013671898,165.39999389648438,211.1999969482422,61.83000183105469,5.449999809265137,0.0
10/04/1990 03:00,0.0,0.0,19.779992675781273,173.1999969482422,301.04998779296875,180.17999267578125,5.929999828338623,0.0
10/04/1990 04:00,0.0,0.0,20.119989013671898,154.5500030517578,420.70001220703125,426.1300048828125,5.929999828338623,0.0
10/04/1990 05:00,0.0,0.0,20.369989013671898,99.25,249.4499969482422,305.6000061035156,5.590000152587891,0.0
10/04/1990 06:00,0.0,0.0,19.629998779296898,45.5,79.0999984741211,105.19000244140625,5.659999847412109,0.0
10/04/1990 07:00,0.0,0.0,19.659997558593773,9.899999618530273,15.649999618530273,47.88999938964844,5.71999979019165,0.0
10/04/1990 08:00,0.0,0.0,19.129998779296898,0.0,0.0,0.0,5.659999847412109,0.0
10/04/1990 09:00,0.0,0.0,19.100000000000023,0.0,0.0,0.0,6.0,0.0
10/04/1990 10:00,0.0,0.0,18.320001220703148,0.0,0.0,0.0,4.480000019073486,0.0
10/04/1990 11:00,0.0,0.0,18.119989013671898,0.0,0.0,0.0,4.340000152587891,0.0
10/04/1990 12:00,0.0,0.0,17.760003662109398,0.0,0.0,0.0,5.309999942779541,0.0
10/04/1990 13:00,0.0,0.0,17.499993896484398,0.0,0.0,0.0,6.139999866485596,0.0
10/04/1990 14:00,0.0,0.0,17.279992675781273,0.0,0.0,0.0,6.28000020980835,0.0
10/04/1990 15:00,0.0,0.0,16.939996337890648,0.0,0.0,0.0,5.71999979019165,0.0
